;LEERINHOUD;;;;;;;;;;;;;;OPMERKINGEN
;Lesinhoud;Doel;Eindtermen tweede graad, basisvorming doorstroomfinaliteit;Cesuurdoelen tweede graad;NIEUW • Bedrijfswetenschappen (tweede graad);NIEUW • Biotechnieken;NIEUW • Natuurwetenschappen;Wiskunde B+;Wiskunde B+S;Wiskunde B+S';Wiskunde B - II - D;Wiskunde B+S'';Wiskundeplan tweede graad (5u);;
Diagnostische module;;;;;;;;;;;;;;;
;;Ik kan de cartesische vergelijking van een rechte opstellen met een gegeven richtingscoëfficiënt en een gegeven punt of met twee gegeven punten.;;;;;;;;;;II-WisS''-d B3;2ME04-3;;
;4 De algemene vergelijking van een rechte;;;;;;;;;;;;;;
;;Ik ken de algemene vorm ux + vy + w = 0 van een vergelijking in _x_ en kan het verband leggen met de vorm y = ax + b.;;;;;;;;;;;;;
;5 Vectoriële en parametrische vergelijkingen van een rechte;;;;;;;;;;;;;;
;;Ik kan de vectoriële en parametrische vergelijking van een rechte opstellen.;;;;;;;;;;II-WisS''-d B3;2ME12-1;;
;;;;;;;;;;;;;;;
16 Data en onzekerheid;;;;;;;;;;;;;;;
;1 Data verzamelen, voorstellen, beschrijven en interpreteren;;;;;;;;;;;;;;
;;Ik kan de centrummaten bij individuele gegevens berekenen en interpreteren.;06.23, 06.18;;;;;II-Wis'-d 3, II-Wis'-d 33, II-Wis'-d 32;II-WisS-d A3, II-WisS-d A39, II-WisS-d A38;II-WisS'-d 3, II-WisS'-d 35, II-WisS'-d 34;II-Wis-d 29, II-Wis-d 28, II-Wis-d 3;II-WisS''-d 3, II-WisS''-d 39, II-WisS''-d 38;A4, 2TW01-3, 2TW01-2;;
;;Ik kan de begrippen absolute en relatieve frequentie verwoorden en kan deze gegevens verwerken in een grafische voorstelling.;06.23, 06.18;;;;;II-Wis'-d 3, II-Wis'-d 31;II-WisS-d A3, II-WisS-d A37;II-WisS'-d 3, II-WisS'-d 33;II-Wis-d 27, II-Wis-d 3;II-WisS''-d 3, II-WisS''-d 37;A4, 2TW01-1;;
;2 Spreidingsmaten bij individuele gegevens;;;;;;;;;;;;;;
;;Ik kan spreidingsmaten verwerken in een grafische voorstelling.;06.18;;;;;II-Wis'-d 31;II-WisS-d A37;II-WisS'-d 33;II-Wis-d 27;II-WisS''-d 37;A4, 2TW01-3;;
;;Ik kan de spreidingsmaten bij individuele gegevens verwoorden, berekenen en interpreteren.;06.23, 06.18;;;;;II-Wis'-d 3, II-Wis'-d 33, II-Wis'-d 32;II-WisS-d A3, II-WisS-d A39, II-WisS-d A38;II-WisS'-d 3, II-WisS'-d 35, II-WisS'-d 34;II-Wis-d 29, II-Wis-d 28, II-Wis-d 3;II-WisS''-d 3, II-WisS''-d 39, II-WisS''-d 38;A4, 2TW01-3, 2TW01-2;;
;3 Gegevens groeperen;;;;;;;;;;;;;;
;;Ik kan gegevens groeperen en gebruik maken van klassen.;06.18;;;;;II-Wis'-d 33;II-WisS-d A39;II-WisS'-d 35;II-Wis-d 29;II-WisS''-d 39;2TW01-3;;
;4 Gegroepeerde numerieke data voorstellen;;;;;;;;;;;;;;
;;Ik kan gegroepeerde gegevens grafisch voorstellen.;06.23, 06.18;;;;;II-Wis'-d 3, II-Wis'-d 31;II-WisS-d A3, II-WisS-d A37;II-WisS'-d 3, II-WisS'-d 33;II-Wis-d 27, II-Wis-d 3;II-WisS''-d 3, II-WisS''-d 37;A4, 2TW01-3;;
;5 Centrummaten en spreidingsmaten bij gegroepeerde gegevens;;;;;;;;;;;;;;
